Area,Status,Project Name,Configuration,Carpet,Pricing,Elevation,Flats/Lifts,Amenities,Possession
Veera Desai,NP,Signature ,1bhk ,428,1.45cr all in ,G+19,7flats/4lifts,Basic ,July 2025
,,,,429,1.45cr all in ,,,,
,,,,441,1.50cr all in ,,,,
,,,2bhk ,567,2.13cr all in ,,,,
,,,,573,2.15cr all in ,,,,
,,,,590,2.20cr all in ,,,,
,,,,,,,,,
Veera Desai ,UC,Prarambh ,1bhk ,,1.23cr++,G+22,6flats/3lifts,All Amenities,Dec 2029
,,,,458,1.23cr++,,,,
,,,,479,1.29cr++,,,,
,,,,423,1.14cr++,,,,
,,,2bhk ,569,1.53cr++,,,,
,,,,598,1.61cr++,,,,
,,,,646,1.74cr++,,,,
,,,,648,1.75cr++,,,,
,,,,670,1.81cr++,,,,
,,,Jodi ,,,,,,
,,,,,,,,,
DN Nagar,RTMI,Platinum Life,2bhk ,665,2.99cr ++,2B+G+16,4flats/2lifts,All Amenities ,OC Received 
,,,2.5bhk,765,3.44cr++,,,,
,,,2.5bhk ,805,3.62cr++,,,,
,,,3bhk ,900,4.05cr++,,,,
,,,,,,,,,
DN Nagar,NP,Platinum 53 West ,1bhk ,sold out ,,3B+G+12,8flats/3lifts,Basic,Aug2025
,,,2bhk ,590,2.59cr+carpark,,,,
,,,,645,2.83cr+carpark,,,,
,,,,,,,,,
DN Nagar,RTMI,Moongipa Asthavinayak,2bhk,618,2.29crall in,G+3C+4P+14,2flats/2lifts,Basic ,OC Received 
,,,,622,2.29cr all in ,,,,
,,,,,,,,,
DN Nagar,NP ,Zee Bliss,2bhk,633,2.50cr all in ,4B+G+16,6flats/3lifts,Basic,June 2025
,,,,667,2.65cr all in ,,,,
,,,,,,,,,
DN nagar,UC,Platinum Crest,1bhk ,415,1.57cr++,G+16,8flats/2lifts,Basic,Dec2028
,,,,460,1.75cr++,,,,
,,,2bhk,560,2.12cr++,,,,
,,,,610,2.32cr++,,,,
,,,,,,,,,
DN nagar,UC,Awestrum Life,2bhk ,564,2.33CR,B+G+16,4flats/2lifts,All Amenities,
,,,,628,2.62 CR,,,,
,,,,634,2.65CR,,,,
,,,,675,2.83CR,,,,
,,,,,,,,,
JP Road/ Versova 4 bungalow,NP,Dhyanam ,  ,714,2.99cr++,G+3P+19,3flats/3lifts,All Amenities,Dec 2025
,,,,730,3.09cr++,,,,
,,,3bhk+balcony ,952,3.99cr++,,,,
,UC,Westwood,2bhk,767,3.65cr all in ,2B+G+4P+20,3flats/2lifts,All Amenities,Mar 2026
,,,3bhk,"1052,",5.01cr all in ,,,,
,,,4bhk,1550,7.45cr all im ,,,,
,,,,,,,,,
Versova 4 bungalow,UC,Disha Elisyum ,2bhk ,682,3.40cr all in ,G+2P+16,7flats/6lifts,All Basic ,Mar 2028
,,,,700,3.50cr all in ,,,,
,,,,722,3.60cr all in ,,,,
,,,,734,3.66cr all in ,,,,
,,,,758,3.77cr all in ,,,,
,,,3bhk ,1070,5.40cr all in ,,,,
,,,,,,,,,
,UC ,Lashkaria Indrasukh,2bhk ,780,3.12cr++,G+3P+19,4flats/3lifts,All Amenities,Dec 2026
,,,3bhk ,1100,4.4cr++,,,,
,,,,,,,,,
,NP,Sea Bliss,1bhk ,441,1.54cr++,G+23,2flats/2lifts,ALL Basic,Dec-25
,,,2bhk ,732,2.70cr++,,,,
,,,,1241,4.59cr++,,,,
,,,,1296,5.18cr++,,,,
,,,4bhk ,1988,7.95cr++,,,,
,,,,,,,,,
,NP,ID Elysium,2bhk ,748,3.36cr++,G+8,2flats/2lifts,ALL Amenities,Dec-25
,,,,791,3.55cr++,,,,
,,,3bhk ,916,4.12cr++,,,,
,,,,960,4.32cr++,,,,
,,,Jodi(7th and 8th floor only),1539,6.92cr++,,,,
,,,,,,,,,
,NP,Ocean View,1bhk,300,1.06cr,G+22,,ALL Basic,Jul-25
,,,,315,1.11cr,,,,
,,,2bhk,630,2.2cr,,,,
,,,,770,2.8cr,,,,
,,,,,,,,,
Link Road/RTO,UC,Adani Link Bay,3bhk,1153,4.56cr++,4B+G+26,4flats/4lifts,ALL Amenities,Dec-27
,,,,1522,6CR++,,,,
,,,4bhk,1775,6.93CR++,,,,
,,,,,,,,,
Link Road/RTO,UC,Transcon ,2bhk,748,3.14cr++,,6flats/5lifts,ALL Amenities,Dec 2026
,,,3bhk,1031,4.33cr++,,,,
,,,,,,,,,
Link Road/RTO,UC,Gurukrupa Ekhi,2bhk,678,2.58cr++,3B+G+35,8flats/6lifts,ALL Amenities,Dec-28
,,,2.5bhk,767,2.91cr++,,,,
,,,3bhk,850,3.23cr++,,,,
,,,3bhk,1052,3.99cr++,,,,
,,,,Jodi(767+767),5.83cr++,,,,
,,,,,,,,,
Link Road/RTO,UC,Veena One luxe,3bhk,999,5cr,3B+G+4P+36,6flats/6lifts,ALL Amenities,Mar-28
,,,4bhk,1699,8.7cr,,,,
,,,,1817,9.3cr,,,,
,,,,,,,,,
Link Road/RTO,UC,Lashkaria solitiare,2bhk,630,1.83cr++,G+8P+23,4flats/2lifts,basic,Dec-26
,,,3bhk,905,2.62cr++,,,,
,,,,,,,,,
Link Road/RTO,UC,Sunbeam,1bhk ,438,1.37cr++,G+3E deck+37,12flats/10lifts,ALL Amenities,Jun-27
,,,,426,1.37cr++,,,,
,,,2bhk,653,2.13cr++,,,,
,,,,708,2.13cr++,,,,
,,,3bhk,950,2.95cr++,,,,
,,,,1005,3.45cr++,,,,
,,,,1158,3.95cr++,,,,
,,,,,,,,,
Model Town,RTMI,MDM Zion ,1bhk,400,1.70cr all in ,G+9,4flats/2lifts,Basic ,OC Received 
,,,2bhk,565,2.50cr all in ,,,,
,,,,,,,,,
Model Town,NP,MDM Maestro,1bhk ,400,1.60cr all in,G +9,4flats/2lifts,Basic,Dec 2025
,,,2bhk,415,1.60cr all in ,,,,
,,,,645,,,,,
,,,,,,,,,
Model Town,UC,Vaibhav Vista PCPL,2bhk,600,2.70cr,G+1&2P+3-14th, 3flats/2lifts,All Basic ,June 2027
,,,,650,sold out ,,,,
,,,,700,3.20cr,,,,
,,,3bhk,1015,4.20cr,,,,
,,,,,,,,,
Lokhandwala ,UC,Bharat Altavistas,3Bhk,1283,6.87cr All in,G+5P+29,5Flats/6lifts ,All Amenities ,June 2027
,,,,1308,7.00cr All in,,,,
,,,,,,,,,
Lokhandwala ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Lokhandwala,UC,Paranjape Aspire ,2bhk ,702,2.68cr,G+22,4flats /2lifts,Basic ,Apr 2026
,,,,665,2.48cr,,,,
,,,1+1bhk ,934,sold out,,,,
,,,Jodi ,1441,5cr ,,,,
,,,,,,,,,
Lokhandwala,RTMI,RNA NG Eclat,2bhk ,802,3.41cr+,G+37,4flats/2lifts,All Amenities,OC received 
,,,,864,3.66cr+,,,,
,,,3bhk,1101,4.75cr+,,,,
,,,,1118,4.82cr+,,,,
,,,,,,,,,
Lokhandwala,NP,72 West,2bhk ,783,3.05cr all in ,G+35,6flats/5lifts,All Amenities,Dec 2025
,,,,793, 3.10 cr all in ,,,,
,,,3bhk,1120,4.85cr all in ,,,,
,,,,1185,4.60cr all in ,,,,
,,,,1210,4.70cr all in ,,,,
,,,,,,,,,
Oshiwara ,RTMI,DLH Leo,2bhk,640,2.53cr++,G+6P+36,5flats/lifts,All Amenities,RTMI
,,,,650,,,,,
,,,,660,,,,,
,,,,670,,,,,
,,,,,,,,,
Oshiwara ,UC,Dream Aspire,1bhk ,429,1.24cr++,G+22,6flats/4lifts,All Amenities,Mar2026
